company,claim,evidence,label,correct,reason,notes
Apple,Hydro 4 Renewable 12 Source: eGRID 2022.,"Run by Nala Renewables and constructed by OX2, it is scheduled to come online in mid-2026.",NOT ENOUGH INFO,,,
Amazon,"That means we must diversify our energy portfolio with additional reliable carbonfree sources, so we remain on track to reach net-zero carbon emissions by 2040.","Amazon has started some sustainability initiatives, including its Climate Pledge to reach net-zero carbon by 2040.",NOT ENOUGH INFO,,,
Amazon,"In 2019, we set an ambitious goal to match 100% of the electricity we use with renewable energy by 2030.","Delivered ahead of schedule, the 195MW solar photovoltaic plant marks a major milestone in large-scale renewable energy procurement and a breakthrough for corporate power sourcing on the continent.",NOT ENOUGH INFO,,,
Amazon,"In 2019, we set an ambitious goal to match 100% of the electricity we use with renewable energy by 2030.","The pledge involves quadrupling the production of sustainable fuels such as biofuels, hydrogen and some synthetic fuels by 2035, compared to 2024 levels.",NOT ENOUGH INFO,,,
Microsoft,Approximately 25% of all online consumer deliveries were made with an electric or carbon neutral option.,“We need our suppliers also to be getting onto 100% carbon-free energy” said Haig.,NOT ENOUGH INFO,,,
Microsoft,Approximately 25% of all online consumer deliveries were made with an electric or carbon neutral option.,"In particular, the demand for carbon removal offsets is gaining traction, with companies like Microsoft leading the charge.",NOT ENOUGH INFO,,,
Exxonmobil,Our actions to reduce emissions through 2030 include: • Achieving net-zero Scope 1 and 2 greenhouse gas emissions in our Permian Basin unconventional operated assets.,"In 2021, ExxonMobil announced Scope 1 and 2 greenhouse gas emission-reduction plans for 2030 for operated assets, compared to 2016 levels.",NOT ENOUGH INFO,,,
Amazon,"Our total capacity of renewable energy in Europe is now 7 GW, including 1.7 GW of renewable energy from offshore wind.","Exus Renewables owns just over 2.5GW of renewable energy capacity across six European countries, with around 5.2GW under its management.",NOT ENOUGH INFO,,,
Amazon,"Our total capacity of renewable energy in Europe is now 7 GW, including 1.7 GW of renewable energy from offshore wind.",The company claims to have more than 8GW of installed and under-construction renewable assets across the world.,NOT ENOUGH INFO,,,
Amazon,"Our total capacity of renewable energy in Europe is now 7 GW, including 1.7 GW of renewable energy from offshore wind.",Portugal has a target to reach 21GW of operational solar energy capacity by 2030.,NOT ENOUGH INFO,,,
Nestle,"Recyclable: As defined in the Ellen McArthur Foundation reporting guideline definitions, a packaging or packaging component is recyclable if it is successfully post-consumer collected, sorted, and recycled with a recycling rate of 30% in multiple regions, collectively representing more than 400 million inhabitants.",This is part of the brand's wider efforts to make all its packaging recyclable by 2025.,NOT ENOUGH INFO,,,
Nestle,"Recyclable: As defined in the Ellen McArthur Foundation reporting guideline definitions, a packaging or packaging component is recyclable if it is successfully post-consumer collected, sorted, and recycled with a recycling rate of 30% in multiple regions, collectively representing more than 400 million inhabitants.",It comes as part of wider plans by Nestle to make all of its packaging recyclable by 2025.,NOT ENOUGH INFO,,,
Amazon,"Opened in May 2023, HQ2 runs on 100% renewable electricity and achieves energy savings of 24% relative to a comparable Leadership in Energy and Environmental Design (LEED) baseline.","February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries.",NOT ENOUGH INFO,,,
Amazon,"Opened in May 2023, HQ2 runs on 100% renewable electricity and achieves energy savings of 24% relative to a comparable Leadership in Energy and Environmental Design (LEED) baseline.","While the company recently completed phase one of its HQ2 project, the second phase of the project previously came under fire for its proposed, spiralled Helix building, which drew public comparisons to an ice-cream scoop and poop emoji.",NOT ENOUGH INFO,,,
Amazon,"Opened in May 2023, HQ2 runs on 100% renewable electricity and achieves energy savings of 24% relative to a comparable Leadership in Energy and Environmental Design (LEED) baseline.","With surging electrolyzer revenue, the largest U.S. green hydrogen plant, and heavyweight clients like Amazon and Walmart, Plug Power could be at the center of a $52 billion hydrogen market by 2030.",NOT ENOUGH INFO,,,
Apple,"This business coalition has called for an increased focus on the transition to renewable energy in alignment with the Paris Agreement’s 1.5° C target, decarbonizing the power sector by 2035 (to align with other G7 nations), setting an aggressive implementation plan for floating offshore wind, and implementing higher carbon pricing.",Officials say it’s part of their mission to expand renewable energy and foster economic development.,NOT ENOUGH INFO,,,
Apple,"This business coalition has called for an increased focus on the transition to renewable energy in alignment with the Paris Agreement’s 1.5° C target, decarbonizing the power sector by 2035 (to align with other G7 nations), setting an aggressive implementation plan for floating offshore wind, and implementing higher carbon pricing.",The agreement contributes to Poland’s target of generating 50 percent of its electricity from renewable sources by 2030.,NOT ENOUGH INFO,,,
Apple,"This business coalition has called for an increased focus on the transition to renewable energy in alignment with the Paris Agreement’s 1.5° C target, decarbonizing the power sector by 2035 (to align with other G7 nations), setting an aggressive implementation plan for floating offshore wind, and implementing higher carbon pricing.","Now fully operational, the project will support Greece’s transition to renewable energy.",NOT ENOUGH INFO,,,
Ford,"Ford’s purchase of carbon-free electricity will avoid as much as 600,000 metric tons of CO2e emissions annually, improve the local environment and add resiliency to the local grid.","But that won’t last forever, Farley said, and the impact of the end of the tax credit will be significant, especially with the U.S. Environmental Protection Agency ordered to roll back greenhouse gas emissions targets — opening opportunities for Ford in the mix of vehicles the automaker can sell.",NOT ENOUGH INFO,,,
Google,"In 2024, we were successful in sourcing more clean energy from within the same regions as our data centers, specifically in North America.","You'll hear stories about how AI and data centers are unlocking the next wave of American innovation — accelerating clean energy technologies, supporting resiliency solutions, and modernizing the energy system.",NOT ENOUGH INFO,,,
Google,"In 2024, we were successful in sourcing more clean energy from within the same regions as our data centers, specifically in North America.",– Google plans more U.S. carbon capture facilities to power data centers.,NOT ENOUGH INFO,,,
Apple,"Thanks to this new option, in 2015 we announced our second Nevada solar project, the 50-megawatt Boulder Solar II project.",The first 50 MW solar park is set to launch this month.,NOT ENOUGH INFO,,,
Apple,"Thanks to this new option, in 2015 we announced our second Nevada solar project, the 50-megawatt Boulder Solar II project.","Additionally, a newly operational solar array in Spain contributes to this effort.",NOT ENOUGH INFO,,,
Amazon,"Nearly 9,300 employees participated in our Sustainability Ambassador program in 2023, spanning 24 chapters throughout 1,345 of our buildings in our corporate, data center, and fulfillment networks.","And Ontario Green Screen hosts a lot of these individuals as ambassadors of our program, people who have taken all of our training, have participated in our quarterly community meetings and really understand what resources are available.",NOT ENOUGH INFO,,,
Amazon,"Nearly 9,300 employees participated in our Sustainability Ambassador program in 2023, spanning 24 chapters throughout 1,345 of our buildings in our corporate, data center, and fulfillment networks.","""By testing several sustainability initiatives under one roof, we're accelerating our progress toward achieving scalability and standardization of these initiatives across our building portfolio,"" Amazon vice president of global realty Daniel Mallory told Dezeen.",NOT ENOUGH INFO,,,
Amazon,Implementing this solution increased recycling of this material by 16% compared to 2023.,"In 2024, it cut single-use plastic in delivery packaging by 16.4%, and now it offers fully recyclable packaging in Europe and India.",NOT ENOUGH INFO,,,
Amazon,Implementing this solution increased recycling of this material by 16% compared to 2023.,"According to Amazon, the company continues to innovate its packaging and has taken steps to reduce waste, especially when it comes to plastic.",NOT ENOUGH INFO,,,
Ford,We aim to eliminate single-use plastics from our operations by 2030. u READ MORE IN THE WASTE MANAGEMENT SECTION ON P.57  FORD INTEGRATED SUSTAINABILITY AND FINANCIAL REPORT 2023 12 | | | | | | | FUNDAMENTALS STRATEGY PRODUCTS AND SERVICES ENVIRONMENT PEOPLE GOVERNANCE DATA APPENDICES It takes big dreams and bold action to be a leader in sustainability.,"""EPA proposes to eliminate all vehicle GHG emissions standards.",NOT ENOUGH INFO,,,
Ford,We aim to eliminate single-use plastics from our operations by 2030. u READ MORE IN THE WASTE MANAGEMENT SECTION ON P.57  FORD INTEGRATED SUSTAINABILITY AND FINANCIAL REPORT 2023 12 | | | | | | | FUNDAMENTALS STRATEGY PRODUCTS AND SERVICES ENVIRONMENT PEOPLE GOVERNANCE DATA APPENDICES It takes big dreams and bold action to be a leader in sustainability.,"They need to be eased, and we therefore welcome the EPA’s important efforts in this direction,"" wrote Williams, Ford's global director of sustainability, homologation and compliance.",NOT ENOUGH INFO,,,
Ford,We aim to eliminate single-use plastics from our operations by 2030. u READ MORE IN THE WASTE MANAGEMENT SECTION ON P.57  FORD INTEGRATED SUSTAINABILITY AND FINANCIAL REPORT 2023 12 | | | | | | | FUNDAMENTALS STRATEGY PRODUCTS AND SERVICES ENVIRONMENT PEOPLE GOVERNANCE DATA APPENDICES It takes big dreams and bold action to be a leader in sustainability.,"But that won’t last forever, Farley said, and the impact of the end of the tax credit will be significant, especially with the U.S. Environmental Protection Agency ordered to roll back greenhouse gas emissions targets — opening opportunities for Ford in the mix of vehicles the automaker can sell.",NOT ENOUGH INFO,,,
